Timestamp,Temperature (°C),Pressure (bar),Vibration_X,Vibration_Y,Vibration_Z,Humidity (%),RPM,Sound (dB),Current (A),Equipment Type,Location,Overheating,Misalignment,Bearing Failure,Imbalance,Electrical Issue
2023-01-01 00:00:00,64.97,1.3,0.327,0.277,0.493,4.61,64.08,58.57,4.99,Axial,Plant A,0,1,0,0,0
2023-01-01 01:00:00,58.62,1.46,0.494,0.374,0.399,3.52,78.02,66.14,2.52,Exhaust,Plant A,0,0,0,0,0
2023-01-01 02:00:00,66.48,1.26,0.504,0.312,0.466,3.36,75.35,64.59,6.92,Exhaust,Plant A,0,0,0,0,0
2023-01-01 03:00:00,75.23,1.41,0.595,0.39,0.643,3.47,69.98,64.7,5.29,Axial,Plant A,0,0,0,0,0
2023-01-01 04:00:00,57.66,0.93,0.227,0.457,0.756,5.91,70.92,71.0,4.15,Exhaust,Plant C,0,0,0,0,0
2023-01-01 05:00:00,57.66,1.56,0.619,0.667,0.614,3.26,68.76,63.7,6.47,Exhaust,Plant A,0,0,0,0,0
2023-01-01 06:00:00,75.79,1.5,-0.041,0.436,0.52,4.68,72.85,64.98,3.2,Centrifugal,Plant A,0,0,0,0,0
2023-01-01 07:00:00,67.67,1.25,0.374,0.183,0.8,6.77,66.62,57.56,3.77,Exhaust,Plant A,0,0,0,0,0
2023-01-01 08:00:00,55.31,1.7,0.402,0.728,0.437,4.47,74.97,66.53,2.7,Axial,Plant C,0,0,0,0,0
2023-01-01 09:00:00,65.43,1.78,0.627,0.333,0.706,6.82,68.73,62.56,6.8,Exhaust,Plant C,0,0,0,0,0
2023-01-01 10:00:00,55.37,1.02,0.505,0.488,0.442,6.73,67.9,68.4,5.33,Axial,Plant C,0,0,0,0,0
2023-01-01 11:00:00,55.34,1.27,0.219,0.589,0.586,4.23,70.11,63.24,5.66,Axial,Plant C,0,1,1,0,0
2023-01-01 12:00:00,62.42,1.27,0.303,0.54,0.477,6.64,67.04,68.52,5.3,Centrifugal,Plant A,0,0,0,0,0
2023-01-01 13:00:00,40.87,1.22,0.54,0.719,0.489,6.74,71.64,67.28,5.57,Axial,Plant A,0,1,0,0,0
2023-01-01 14:00:00,42.75,1.75,0.484,0.596,0.425,4.99,67.31,76.36,5.08,Axial,Plant B,0,0,0,0,0
2023-01-01 15:00:00,54.38,1.44,0.384,0.328,0.769,4.05,72.34,70.49,5.27,Centrifugal,Plant A,0,0,0,0,0
2023-01-01 16:00:00,49.87,1.42,0.404,0.936,0.353,5.61,76.08,58.8,5.11,Axial,Plant C,1,0,0,0,0
2023-01-01 17:00:00,63.14,0.9,0.639,0.539,0.352,7.61,66.4,61.68,4.39,Centrifugal,Plant C,0,0,0,0,0
2023-01-01 18:00:00,50.92,1.69,0.396,0.471,0.924,6.2,69.35,68.28,4.95,Axial,Plant A,0,0,0,0,0
2023-01-01 19:00:00,45.88,1.13,0.482,0.693,0.696,3.86,72.31,63.35,5.27,Exhaust,Plant B,0,0,0,0,0
2023-01-01 20:00:00,74.66,1.52,0.934,0.55,0.023,6.41,67.82,53.16,5.11,Centrifugal,Plant C,0,0,0,0,1
2023-01-01 21:00:00,57.74,1.58,0.215,0.58,0.387,5.14,72.32,74.75,3.52,Centrifugal,Plant B,0,0,0,1,0
2023-01-01 22:00:00,60.68,1.91,0.13,0.998,0.138,5.96,72.78,71.6,3.66,Axial,Plant C,0,0,0,0,0
2023-01-01 23:00:00,45.75,1.11,0.657,0.445,0.31,6.67,75.42,70.6,6.08,Centrifugal,Plant C,1,0,0,0,0
2023-01-02 00:00:00,54.56,0.59,0.364,0.436,-0.128,5.57,66.97,64.96,4.69,Axial,Plant A,0,0,0,0,0
2023-01-02 01:00:00,61.11,1.56,0.436,0.523,0.473,7.07,65.29,70.14,5.58,Centrifugal,Plant C,0,0,0,0,0
2023-01-02 02:00:00,48.49,2.04,0.344,0.714,0.272,6.61,68.46,64.48,3.91,Centrifugal,Plant B,1,0,0,0,0
2023-01-02 03:00:00,63.76,1.87,0.448,0.199,0.512,6.08,65.16,69.02,3.53,Exhaust,Plant B,0,0,0,0,0
2023-01-02 04:00:00,53.99,1.56,0.82,0.107,0.175,3.75,72.82,63.4,4.16,Axial,Plant A,0,0,0,0,0
2023-01-02 05:00:00,57.08,1.35,0.66,0.383,0.517,7.18,64.19,75.58,4.78,Exhaust,Plant C,0,0,0,0,0
2023-01-02 06:00:00,53.98,1.74,0.672,0.173,0.417,7.68,81.67,60.15,4.33,Centrifugal,Plant B,0,0,0,0,0
2023-01-02 07:00:00,78.52,1.21,0.217,0.415,0.8,3.68,76.48,74.16,6.29,Axial,Plant A,0,0,0,0,0
2023-01-02 08:00:00,59.87,1.64,0.27,0.6,0.782,5.44,70.06,68.19,5.18,Exhaust,Plant B,0,0,0,1,0
2023-01-02 09:00:00,49.42,1.65,-0.068,0.322,0.657,4.29,74.34,65.55,6.85,Centrifugal,Plant A,0,0,0,1,0
2023-01-02 10:00:00,68.23,1.82,0.338,0.215,0.435,6.77,61.82,68.84,5.4,Exhaust,Plant B,0,0,0,0,0
2023-01-02 11:00:00,47.79,2.33,0.691,0.514,0.897,6.61,82.62,71.67,2.59,Centrifugal,Plant C,0,0,0,1,0
2023-01-02 12:00:00,62.09,1.62,0.603,0.673,0.189,3.7,67.05,74.83,6.06,Centrifugal,Plant B,0,0,0,1,0
2023-01-02 13:00:00,40.4,1.35,0.456,0.161,0.219,7.39,69.4,69.57,3.49,Axial,Plant B,0,0,0,0,0
2023-01-02 14:00:00,46.72,1.49,0.496,0.664,0.483,3.9,60.72,63.55,5.23,Axial,Plant A,0,0,0,0,0
2023-01-02 15:00:00,61.97,0.97,0.362,0.663,0.951,6.99,72.43,68.28,4.23,Axial,Plant A,0,0,0,0,1
2023-01-02 16:00:00,67.38,1.29,0.541,0.691,0.46,5.28,64.47,77.08,7.14,Centrifugal,Plant A,0,0,0,0,0
2023-01-02 17:00:00,61.71,1.38,0.653,0.744,0.463,4.64,70.51,74.74,6.44,Exhaust,Plant B,0,0,0,0,0
2023-01-02 18:00:00,58.84,1.34,0.177,0.94,0.212,3.79,67.28,72.54,4.26,Axial,Plant A,0,0,0,0,0
2023-01-02 19:00:00,56.99,1.55,0.56,0.429,0.689,3.84,64.61,71.98,4.87,Axial,Plant C,0,0,0,0,0
2023-01-02 20:00:00,45.21,1.25,0.686,0.522,0.691,6.31,65.98,71.5,5.24,Axial,Plant A,0,0,0,0,0
2023-01-02 21:00:00,52.8,1.84,0.417,0.417,0.658,5.75,71.13,73.79,5.86,Axial,Plant A,0,0,0,0,0
2023-01-02 22:00:00,55.39,1.5,0.64,0.5,0.374,3.61,63.59,65.72,5.03,Centrifugal,Plant C,0,0,0,0,1
2023-01-02 23:00:00,70.57,1.5,1.063,0.807,0.359,3.56,66.26,61.22,3.98,Exhaust,Plant A,0,0,0,0,0
2023-01-03 00:00:00,63.44,1.4,0.479,0.231,0.241,3.36,73.32,68.35,4.28,Centrifugal,Plant A,0,0,1,0,0
2023-01-03 01:00:00,42.37,1.55,0.579,0.328,0.517,6.72,83.01,63.91,5.0,Centrifugal,Plant B,0,0,0,0,0
2023-01-03 02:00:00,63.24,1.75,0.352,0.775,0.284,6.56,72.39,62.72,6.23,Centrifugal,Plant B,0,0,0,0,0
2023-01-03 03:00:00,56.15,1.24,0.536,0.704,0.265,3.29,65.41,64.4,5.43,Axial,Plant A,0,0,0,0,0
2023-01-03 04:00:00,53.23,1.3,0.592,0.427,0.415,5.8,68.16,80.43,4.23,Exhaust,Plant C,0,0,0,0,0
