Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,Vibration_Z,RPM,Temperature (°C),Humidity (%),Sound (dB),Pressure (bar),Current (A),Vibration_Y,Vibration_X,vibration_total,Bearing Failure
0,0,0,0,64.97,1.3,0.327,0.277,0.493,4.61,64.08,58.57,4.99,0.6532281377895475,0
0,1,0,0,58.62,1.46,0.494,0.374,0.399,3.52,78.02,66.14,2.52,0.7369620071618347,0
0,1,0,0,66.48,1.26,0.504,0.312,0.466,3.36,75.35,64.59,6.92,0.754,0
0,0,0,0,75.23,1.41,0.595,0.39,0.643,3.47,69.98,64.7,5.29,0.9589442110988521,0
0,1,0,1,57.66,0.93,0.227,0.457,0.756,5.91,70.92,71.0,4.15,0.9120931969925004,0
0,1,0,0,57.66,1.56,0.619,0.667,0.614,3.26,68.76,63.7,6.47,1.0977458722309092,0
1,0,0,0,75.79,1.5,-0.041,0.436,0.52,4.68,72.85,64.98,3.2,0.6798360096376184,0
0,1,0,0,67.67,1.25,0.374,0.183,0.8,6.77,66.62,57.56,3.77,0.9018675068988793,0
0,0,0,1,55.31,1.7,0.402,0.728,0.437,4.47,74.97,66.53,2.7,0.9394450489517735,0
0,1,0,1,65.43,1.78,0.627,0.333,0.706,6.82,68.73,62.56,6.8,1.0012262481577279,0
0,0,0,1,55.37,1.02,0.505,0.488,0.442,6.73,67.9,68.4,5.33,0.8297788862100554,0
0,0,0,1,55.34,1.27,0.219,0.589,0.586,4.23,70.11,63.24,5.66,0.8592310515804232,1
1,0,0,0,62.42,1.27,0.303,0.54,0.477,6.64,67.04,68.52,5.3,0.7816252298896191,0
0,0,0,0,40.87,1.22,0.54,0.719,0.489,6.74,71.64,67.28,5.57,1.023563383479499,0
0,0,1,0,42.75,1.75,0.484,0.596,0.425,4.99,67.31,76.36,5.08,0.877551707878231,0
1,0,0,0,54.38,1.44,0.384,0.328,0.769,4.05,72.34,70.49,5.27,0.9200005434781003,0
0,0,0,1,49.87,1.42,0.404,0.936,0.353,5.61,76.08,58.8,5.11,1.0788517043597792,0
1,0,0,1,63.14,0.9,0.639,0.539,0.352,7.61,66.4,61.68,4.39,0.9070534714116913,0
0,0,0,0,50.92,1.69,0.396,0.471,0.924,6.2,69.35,68.28,4.95,1.1101499898662344,0
0,1,1,0,45.88,1.13,0.482,0.693,0.696,3.86,72.31,63.35,5.27,1.0940699246391885,0
1,0,0,1,74.66,1.52,0.934,0.55,0.023,6.41,67.82,53.16,5.11,1.084151742146827,0
1,0,1,0,57.74,1.58,0.215,0.58,0.387,5.14,72.32,74.75,3.52,0.7296533423482688,0
0,0,0,1,60.68,1.91,0.13,0.998,0.138,5.96,72.78,71.6,3.66,1.0158484138886077,0
1,0,0,1,45.75,1.11,0.657,0.445,0.31,6.67,75.42,70.6,6.08,0.8519237055041959,0
0,0,0,0,54.56,0.59,0.364,0.436,-0.128,5.57,66.97,64.96,4.69,0.5822164545939937,0
