Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,vibration_total,Sound (dB),Vibration_Y,Humidity (%),RPM,Temperature (°C),Current (A),Vibration_Z,Pressure (bar),Vibration_X,Electrical Issue
0.0,0.0,0.0,0.0,64.97,1.3,0.327,0.277,0.493,4.61,64.08,58.57,4.99,0.6532281377895475,0
0.0,1.0,0.0,0.0,58.62,1.46,0.494,0.374,0.399,3.52,78.02,66.14,2.52,0.7369620071618347,0
0.0,1.0,0.0,0.0,66.48,1.26,0.504,0.312,0.466,3.36,75.35,64.59,6.92,0.754,0
0.0,0.0,0.0,0.0,75.23,1.41,0.595,0.39,0.643,3.47,69.98,64.7,5.29,0.9589442110988521,0
0.0,1.0,0.0,1.0,57.66,0.93,0.227,0.457,0.756,5.91,70.92,71.0,4.15,0.9120931969925004,0
0.0,1.0,0.0,0.0,57.66,1.56,0.619,0.667,0.614,3.26,68.76,63.7,6.47,1.0977458722309092,0
1.0,0.0,0.0,0.0,75.79,1.5,-0.041,0.436,0.52,4.68,72.85,64.98,3.2,0.6798360096376184,0
0.0,1.0,0.0,0.0,67.67,1.25,0.374,0.183,0.8,6.77,66.62,57.56,3.77,0.9018675068988793,0
0.0,0.0,0.0,1.0,55.31,1.7,0.402,0.728,0.437,4.47,74.97,66.53,2.7,0.9394450489517735,0
0.0,1.0,0.0,1.0,65.43,1.78,0.627,0.333,0.706,6.82,68.73,62.56,6.8,1.0012262481577279,0
0.0,0.0,0.0,1.0,55.37,1.02,0.505,0.488,0.442,6.73,67.9,68.4,5.33,0.8297788862100554,0
0.0,0.0,0.0,1.0,55.34,1.27,0.219,0.589,0.586,4.23,70.11,63.24,5.66,0.8592310515804232,0
1.0,0.0,0.0,0.0,62.42,1.27,0.303,0.54,0.477,6.64,67.04,68.52,5.3,0.7816252298896191,0
0.0,0.0,0.0,0.0,40.87,1.22,0.54,0.719,0.489,6.74,71.64,67.28,5.57,1.023563383479499,0
0.0,0.0,1.0,0.0,42.75,1.75,0.484,0.596,0.425,4.99,67.31,76.36,5.08,0.877551707878231,0
1.0,0.0,0.0,0.0,54.38,1.44,0.384,0.328,0.769,4.05,72.34,70.49,5.27,0.9200005434781003,0
0.0,0.0,0.0,1.0,49.87,1.42,0.404,0.936,0.353,5.61,76.08,58.8,5.11,1.0788517043597792,0
1.0,0.0,0.0,1.0,63.14,0.9,0.639,0.539,0.352,7.61,66.4,61.68,4.39,0.9070534714116913,0
0.0,0.0,0.0,0.0,50.92,1.69,0.396,0.471,0.924,6.2,69.35,68.28,4.95,1.1101499898662344,0
0.0,1.0,1.0,0.0,45.88,1.13,0.482,0.693,0.696,3.86,72.31,63.35,5.27,1.0940699246391885,0
1.0,0.0,0.0,1.0,74.66,1.52,0.934,0.55,0.023,6.41,67.82,53.16,5.11,1.084151742146827,1
1.0,0.0,1.0,0.0,57.74,1.58,0.215,0.58,0.387,5.14,72.32,74.75,3.52,0.7296533423482688,0
0.0,0.0,0.0,1.0,60.68,1.91,0.13,0.998,0.138,5.96,72.78,71.6,3.66,1.0158484138886077,0
1.0,0.0,0.0,1.0,45.75,1.11,0.657,0.445,0.31,6.67,75.42,70.6,6.08,0.8519237055041959,0
0.0,0.0,0.0,0.0,54.56,0.59,0.364,0.436,-0.128,5.57,66.97,64.96,4.69,0.5822164545939937,0
1.0,0.0,0.0,1.0,61.11,1.56,0.436,0.523,0.473,7.07,65.29,70.14,5.58,0.8290681516015436,0
1.0,0.0,1.0,0.0,48.49,2.04,0.344,0.714,0.272,6.61,68.46,64.48,3.91,0.8379236242044975,0
0.0,1.0,1.0,0.0,63.76,1.87,0.448,0.199,0.512,6.08,65.16,69.02,3.53,0.7088363703986978,0
0.0,0.0,0.0,0.0,53.99,1.56,0.82,0.107,0.175,3.75,72.82,63.4,4.16,0.8452656387195684,0
0.0,1.0,0.0,1.0,57.08,1.35,0.66,0.383,0.517,7.18,64.19,75.58,4.78,0.9217255556834691,0
1.0,0.0,1.0,0.0,53.98,1.74,0.672,0.173,0.417,7.68,81.67,60.15,4.33,0.8095690211464369,0
0.0,0.0,0.0,0.0,78.52,1.21,0.217,0.415,0.8,3.68,76.48,74.16,6.29,0.9269919093498067,0
0.0,1.0,1.0,0.0,59.87,1.64,0.27,0.6,0.782,5.44,70.06,68.19,5.18,1.0219706453709911,0
1.0,0.0,0.0,0.0,49.42,1.65,-0.068,0.322,0.657,4.29,74.34,65.55,6.85,0.7348176644583335,0
0.0,1.0,1.0,0.0,68.23,1.82,0.338,0.215,0.435,6.77,61.82,68.84,5.4,0.5913493045569598,0
1.0,0.0,0.0,1.0,47.79,2.33,0.691,0.514,0.897,6.61,82.62,71.67,2.59,1.2434974869295072,0
1.0,0.0,1.0,0.0,62.09,1.62,0.603,0.673,0.189,3.7,67.05,74.83,6.06,0.923178747589003,0
0.0,0.0,1.0,0.0,40.4,1.35,0.456,0.161,0.219,7.39,69.4,69.57,3.49,0.5308653313223609,0
0.0,0.0,0.0,0.0,46.72,1.49,0.496,0.664,0.483,3.9,60.72,63.55,5.23,0.959271077433277,0
0.0,0.0,0.0,0.0,61.97,0.97,0.362,0.663,0.951,6.99,72.43,68.28,4.23,1.2145015438442224,1
1.0,0.0,0.0,0.0,67.38,1.29,0.541,0.691,0.46,5.28,64.47,77.08,7.14,0.990839038391201,0
0.0,1.0,1.0,0.0,61.71,1.38,0.653,0.744,0.463,4.64,70.51,74.74,6.44,1.0928467413137124,0
0.0,0.0,0.0,0.0,58.84,1.34,0.177,0.94,0.212,3.79,67.28,72.54,4.26,0.9797310855535818,0
0.0,0.0,0.0,1.0,56.99,1.55,0.56,0.429,0.689,3.84,64.61,71.98,4.87,0.9860841749059762,0
0.0,0.0,0.0,0.0,45.21,1.25,0.686,0.522,0.691,6.31,65.98,71.5,5.24,1.1047900252989253,0
0.0,0.0,0.0,0.0,52.8,1.84,0.417,0.417,0.658,5.75,71.13,73.79,5.86,0.8835960615575423,0
1.0,0.0,0.0,1.0,55.39,1.5,0.64,0.5,0.374,3.61,63.59,65.72,5.03,0.8941342181126948,1
0.0,1.0,0.0,0.0,70.57,1.5,1.063,0.807,0.359,3.56,66.26,61.22,3.98,1.3820633125873794,0
1.0,0.0,0.0,0.0,63.44,1.4,0.479,0.231,0.241,3.36,73.32,68.35,4.28,0.5838518647739339,0
1.0,0.0,1.0,0.0,42.37,1.55,0.579,0.328,0.517,6.72,83.01,63.91,5.0,0.842682621156981,0
1.0,0.0,1.0,0.0,63.24,1.75,0.352,0.775,0.284,6.56,72.39,62.72,6.23,0.8973210127930806,0
0.0,0.0,0.0,0.0,56.15,1.24,0.536,0.704,0.265,3.29,65.41,64.4,5.43,0.923654156056259,0
0.0,1.0,0.0,1.0,53.23,1.3,0.592,0.427,0.415,5.8,68.16,80.43,4.23,0.839653499962931,0
1.0,0.0,0.0,0.0,66.12,1.41,0.539,0.671,0.402,3.42,70.16,68.68,5.65,0.949929471066142,1
1.0,0.0,0.0,0.0,70.31,1.1,0.296,0.568,0.392,7.52,68.25,69.81,4.61,0.7509354166637767,0
1.0,0.0,0.0,0.0,69.31,1.25,0.541,0.8,0.593,7.54,74.52,61.89,5.89,1.1332828420125314,0
0.0,0.0,1.0,0.0,51.61,1.36,0.792,0.515,0.516,6.49,71.09,58.78,7.53,1.076450184634663,0
0.0,0.0,0.0,1.0,56.91,1.76,0.59,0.705,0.442,7.63,74.54,63.9,4.64,1.0200436265180033,0
1.0,0.0,0.0,1.0,63.31,1.58,0.692,1.028,0.537,7.06,68.43,75.19,5.8,1.3505617349828922,0
0.0,0.0,0.0,1.0,69.76,1.56,0.453,0.62,0.302,7.14,76.63,69.67,4.25,0.8251139315270346,0
0.0,1.0,1.0,0.0,55.21,1.76,0.65,0.51,0.521,5.85,69.17,70.99,4.89,0.9767502239569746,0
0.0,0.0,1.0,0.0,58.14,1.46,0.556,0.644,0.53,4.53,65.14,71.69,5.03,1.0023831602735553,0
1.0,0.0,0.0,0.0,48.94,1.62,0.31,0.427,0.199,4.09,80.89,65.04,4.81,0.5639414863263741,0
0.0,1.0,1.0,0.0,48.04,1.47,0.564,0.978,0.699,4.64,60.88,74.94,7.46,1.3278482594031593,0
0.0,0.0,0.0,0.0,68.13,1.58,0.302,0.536,0.324,6.14,66.31,64.84,4.69,0.69532438472989,0
1.0,0.0,1.0,0.0,73.56,1.33,0.373,0.445,0.518,3.86,66.86,75.03,5.59,0.7781246686746283,0
0.0,1.0,0.0,0.0,59.28,0.77,0.538,0.333,0.733,4.29,82.54,70.21,3.07,0.9683088350314687,0
0.0,1.0,1.0,0.0,70.04,1.46,0.559,0.719,0.685,5.34,79.03,59.05,5.43,1.139590716002899,0
0.0,1.0,0.0,1.0,63.62,1.93,0.262,0.673,0.507,4.17,77.47,64.26,6.14,0.882395602890223,0
0.0,0.0,0.0,0.0,53.55,1.78,0.711,0.401,0.428,5.94,68.35,59.08,4.47,0.9216864976769488,0
0.0,1.0,1.0,0.0,63.61,1.79,0.614,0.615,0.69,7.62,82.13,73.82,2.49,1.1096490436169446,0
0.0,0.0,1.0,0.0,75.38,1.87,0.359,0.198,0.635,6.74,71.84,67.88,4.96,0.7558505143214497,0
1.0,0.0,0.0,0.0,59.64,1.53,0.192,0.537,0.376,6.33,74.89,56.86,5.02,0.6830878420818219,0
0.0,0.0,1.0,0.0,75.65,1.56,0.471,0.591,0.341,5.91,70.9,69.88,5.72,0.8290977023246416,0
0.0,0.0,0.0,1.0,33.8,1.31,0.411,0.841,0.086,5.44,69.75,65.31,7.01,0.9399989361696107,0
1.0,0.0,0.0,0.0,68.22,1.41,0.523,0.346,0.531,3.93,68.74,60.58,4.62,0.8217091943017311,0
0.0,0.0,0.0,0.0,60.87,1.68,0.427,0.244,0.483,7.47,68.95,76.39,4.14,0.6893141518930247,0
0.0,0.0,0.0,0.0,57.01,1.86,0.099,0.321,0.727,4.24,73.04,68.54,3.83,0.8008564165941358,0
1.0,0.0,0.0,0.0,60.92,1.46,0.422,0.233,0.572,3.46,71.84,66.53,5.2,0.748035426968536,0
0.0,1.0,0.0,0.0,40.12,1.36,0.439,0.767,0.767,6.75,69.84,66.0,5.48,1.1701705003972713,0
1.0,0.0,0.0,1.0,57.8,1.5,0.627,0.81,0.361,3.88,77.55,60.43,4.45,1.0860709000797324,0
0.0,1.0,0.0,0.0,63.57,1.68,0.36,0.564,0.728,4.86,55.17,61.48,5.78,0.9887770223867461,0
0.0,0.0,0.0,1.0,74.78,1.07,0.836,0.744,0.394,3.14,72.55,74.42,5.47,1.1864518532161346,0
1.0,0.0,0.0,1.0,54.82,0.81,0.118,0.527,0.656,3.69,73.59,65.63,5.04,0.8496993585969098,0
0.0,1.0,0.0,1.0,51.92,1.33,0.762,0.481,0.208,3.87,75.73,68.11,4.1,0.9248075475470559,0
